step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,16,0,0,0,16,0,0.0,0.0,12.0371111087346,0,0.0,0.8347700575441628,0,0.0
10.0,16,0,0,0,16,0,0.0,0.0,11.423626172885953,0,0.0,0.8000279885277743,0,0.0
15.0,22,0,4,0,22,0,8.0,0.36363636363636365,6.3141068830850235,4,8.0,0.3710374272870735,4,8.0
20.0,22,0,12,0,22,0,48.0,2.1818181818181817,5.76682374275664,12,48.0,0.2953914682500522,12,48.0
25.0,26,0,8,2,28,0,78.0,3.0,5.031434209201872,8,88.0,0.2951206881621222,8,88.0
30.0,24,0,10,4,28,0,127.0,5.291666666666667,6.936015809810768,10,127.0,0.35822974537056257,10,127.0
35.0,28,0,10,4,32,0,177.0,6.321428571428571,7.532762197257651,10,177.0,0.2280747238764565,10,177.0
40.0,30,0,12,8,38,0,235.0,7.833333333333333,7.673848237759745,12,235.0,0.3933920095987609,12,235.0
45.0,29,0,9,13,42,0,239.0,8.241379310344827,6.186489241013637,9,253.0,0.3830115392860554,9,253.0
50.0,28,0,14,16,44,0,302.0,10.785714285714286,5.436853023162919,14,302.0,0.25120365403030537,14,302.0
55.0,32,0,18,16,48,0,385.0,12.03125,5.071992667040429,18,385.0,0.22832967938159013,18,385.0
60.0,28,0,20,20,48,0,483.0,17.25,3.5689274464876264,20,483.0,0.14171117334965855,20,483.0
65.0,32,0,15,22,54,0,292.0,9.125,3.539938954935438,15,476.0,0.20393016676700018,15,476.0
70.0,32,0,14,22,54,0,292.0,9.125,4.157903304963993,14,452.0,0.22393884426816302,14,452.0
75.0,42,0,12,24,66,0,212.0,5.0476190476190474,5.016589332231379,12,465.0,0.3174485151361874,12,465.0
