step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,16,0,0,0,16,0,0.0,0.0,12.38668174541835,0,0.0,0.8545019064544751,0,0.0
10.0,16,0,0,0,16,0,0.0,0.0,11.300370747736029,0,0.0,0.7795998126583067,0,0.0
15.0,22,0,4,0,22,0,8.0,0.36363636363636365,6.617099858989187,4,8.0,0.38929970156001,4,8.0
20.0,22,0,12,0,22,0,55.0,2.5,5.8828562583492205,12,55.0,0.2847015028121598,12,55.0
25.0,26,0,9,2,28,0,83.0,3.1923076923076925,5.233162328754235,9,94.0,0.29970725227538264,9,94.0
30.0,24,0,10,4,28,0,131.0,5.458333333333333,6.4209335824647775,10,132.0,0.3280492023793496,10,132.0
35.0,28,0,10,4,32,0,181.0,6.464285714285714,7.96941245706701,10,181.0,0.25222994098078966,10,181.0
40.0,29,0,8,9,38,0,202.0,6.9655172413793105,8.519331513693292,8,202.0,0.4920784281270252,8,202.0
45.0,28,0,8,14,42,0,242.0,8.642857142857142,7.160184702762456,8,242.0,0.38844491178253066,8,242.0
50.0,28,0,11,16,44,0,287.0,10.25,5.95267773726759,11,288.0,0.28652346005479634,11,288.0
55.0,28,0,13,20,48,0,351.0,12.535714285714286,6.684822707475776,13,351.0,0.3216770884466304,13,351.0
60.0,27,0,12,21,48,0,406.0,15.037037037037036,7.132807149640844,12,406.0,0.2810056122801589,12,406.0
65.0,29,0,12,25,54,0,466.0,16.06896551724138,6.318940940082014,12,466.0,0.3128383726482445,12,466.0
70.0,24,0,10,30,54,0,213.0,8.875,4.475821576824582,10,421.0,0.2925483094754177,10,421.0
75.0,35,0,7,31,66,0,160.0,4.571428571428571,6.058291532109398,7,349.0,0.4220074998687468,7,349.0
80.0,34,0,8,32,66,0,154.0,4.529411764705882,6.4259957492390845,8,372.0,0.4208988006441056,8,372.0
85.0,40,0,11,32,72,0,195.0,4.875,5.982541557430936,11,392.0,0.28123850897965735,11,392.0
90.0,36,0,18,36,72,0,274.0,7.611111111111111,6.600977728319102,18,463.0,0.2600068820523357,18,463.0
