step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,16,0,0,0,16,0,0.0,0.0,11.88429626462391,0,0.0,0.8655665593642675,0,0.0
10.0,16,0,0,0,16,0,0.0,0.0,11.392377086053207,0,0.0,0.8338137972364784,0,0.0
15.0,22,0,4,0,22,0,7.0,0.3181818181818182,6.596128087621497,4,7.0,0.40590134299709724,4,7.0
20.0,22,0,12,0,22,0,53.0,2.409090909090909,5.777241590338776,12,53.0,0.28943939664768636,12,53.0
25.0,26,0,13,2,28,0,94.0,3.6153846153846154,4.651033106269359,13,94.0,0.2785082520408672,13,94.0
30.0,24,0,14,4,28,0,164.0,6.833333333333333,4.795907473074084,14,164.0,0.23143616137743434,14,164.0
35.0,28,0,16,4,32,0,239.0,8.535714285714286,4.5158940046513285,16,239.0,0.22173671102698858,16,239.0
40.0,31,0,18,7,38,0,329.0,10.612903225806452,4.626973758434161,18,329.0,0.2653240493845387,18,329.0
45.0,34,0,21,8,42,0,427.0,12.558823529411764,3.7672461176502066,21,427.0,0.23712510279206422,21,427.0
50.0,34,0,24,10,44,0,542.0,15.941176470588236,2.1236701717713626,24,542.0,0.11891680308012498,24,542.0
55.0,38,0,30,10,48,0,681.0,17.92105263157895,2.4724637099781686,30,681.0,0.14604315446611252,30,681.0
60.0,37,0,31,11,48,0,832.0,22.486486486486488,1.0633234321322735,31,832.0,0.06263402101959897,31,832.0
65.0,42,0,30,12,54,0,726.0,17.285714285714285,2.172267375051016,30,897.0,0.1418619187182216,30,897.0
70.0,42,0,22,12,54,0,534.0,12.714285714285714,3.0101989323795495,22,848.0,0.11630420534105108,22,848.0
75.0,54,0,16,12,66,0,487.0,9.018518518518519,5.903484464838546,16,839.0,0.327847564305673,16,839.0
80.0,49,0,18,17,66,0,541.0,11.040816326530612,4.6690877291596955,18,916.0,0.24798789749706668,18,916.0
85.0,52,0,22,20,72,0,599.0,11.51923076923077,3.306305731292448,22,934.0,0.17579636736887475,22,934.0
90.0,49,0,23,23,72,0,668.0,13.63265306122449,3.100832439496534,23,909.0,0.11786941983718278,23,909.0
95.0,52,0,20,24,76,0,735.0,14.134615384615385,4.095036547066554,20,971.0,0.1790997715194889,20,971.0
100.0,50,0,23,28,78,0,835.0,16.7,3.285570203133601,23,1076.0,0.11147205183950883,23,1076.0
105.0,51,0,23,31,82,0,911.0,17.862745098039216,3.072795939459452,23,1121.0,0.15044011367367166,23,1121.0
110.0,53,0,20,35,88,0,975.0,18.39622641509434,3.78244208974427,20,1117.0,0.19385879359204355,20,1117.0
115.0,55,2,20,35,90,0,1056.0,19.2,4.131852922711642,20,1186.0,0.19133399586704977,20,1186.0
120.0,53,0,28,39,92,0,1176.0,22.18867924528302,2.508221683536057,28,1310.0,0.1078712675479843,28,1310.0
125.0,54,2,29,42,96,0,1273.0,23.574074074074073,2.841540007814486,29,1400.0,0.13238786076588613,29,1400.0
130.0,54,0,24,44,98,0,1348.0,24.962962962962962,3.2217443484254478,24,1432.0,0.10514660639711373,24,1432.0
135.0,56,2,23,46,102,0,1445.0,25.803571428571427,4.060720512945435,23,1537.0,0.1591644571161271,23,1537.0
140.0,52,0,27,52,104,0,1563.0,30.057692307692307,2.406276187504546,27,1661.0,0.11402599041577959,27,1661.0
145.0,54,2,27,56,110,0,1661.0,30.75925925925926,2.80274977025825,27,1762.0,0.19498238203363266,27,1762.0
150.0,60,0,27,56,116,0,1756.0,29.266666666666666,3.8669393764277804,27,1826.0,0.19918396279420866,27,1826.0
155.0,59,0,24,57,116,0,1845.0,31.271186440677965,3.141459747116519,24,1929.0,0.10937029541814082,24,1929.0
160.0,60,0,32,62,122,0,1984.0,33.06666666666667,2.5778049435179415,32,2074.0,0.11033056618871982,32,2074.0
165.0,58,0,32,64,122,0,2113.0,36.43103448275862,2.259776526690596,32,2207.0,0.1015830611741655,32,2207.0
170.0,61,0,29,67,128,0,2231.0,36.57377049180328,2.70733135476381,29,2300.0,0.10816953563531576,29,2300.0
175.0,60,0,29,68,128,0,2360.0,39.333333333333336,2.8039132754806464,29,2441.0,0.10605662924065407,29,2441.0
180.0,60,0,33,72,132,0,2517.0,41.95,2.1556248392799726,33,2599.0,0.08262534488384181,33,2599.0
185.0,63,0,35,75,138,0,2646.0,42.0,2.2100995495689935,35,2739.0,0.11615329805816971,35,2739.0
190.0,65,0,34,77,142,0,2766.0,42.55384615384615,2.579509956345841,34,2848.0,0.11068502897507956,34,2848.0
195.0,66,0,35,78,144,0,2910.0,44.09090909090909,2.535868674164009,35,3009.0,0.08460654587241953,35,3009.0
200.0,66,0,38,82,148,0,3082.0,46.696969696969695,1.9987486752209676,38,3190.0,0.08293160042644286,38,3190.0
205.0,66,0,39,84,150,0,3233.0,48.984848484848484,1.9072095437942285,39,3348.0,0.08135224417451976,39,3348.0
210.0,68,0,35,86,154,0,3367.0,49.51470588235294,2.5011999723524445,35,3470.0,0.10152702993218284,35,3470.0
215.0,66,0,38,88,154,0,3515.0,53.25757575757576,2.0947507138165653,38,3647.0,0.06255164081543722,38,3647.0
220.0,74,1,40,91,165,0,3695.0,49.932432432432435,2.8484015012637136,40,3840.0,0.1365844422399938,40,3840.0
225.0,72,0,43,94,166,0,3855.0,53.541666666666664,1.9612184452240926,43,4010.0,0.09186017879598013,43,4010.0
230.0,76,0,45,96,172,0,4003.0,52.671052631578945,2.228205405311365,45,4133.0,0.09011061039398058,45,4133.0
235.0,75,0,39,97,172,0,4168.0,55.57333333333333,2.3840766799313875,39,4311.0,0.07762429182179464,39,4311.0
240.0,74,1,45,101,175,0,4370.0,59.054054054054056,2.064496251054494,45,4518.0,0.08083735486577476,45,4518.0
245.0,72,1,42,105,177,0,4547.0,63.15277777777778,1.5911928631295449,42,4697.0,0.07920754381354071,42,4697.0
250.0,73,2,41,107,180,0,4720.0,64.65753424657534,2.0641357348124685,41,4836.0,0.08680612349146012,41,4836.0
255.0,81,0,42,107,188,0,4895.0,60.4320987654321,2.303337785588294,42,5027.0,0.09683595910145913,42,5027.0
260.0,80,2,49,110,190,0,5116.0,63.95,1.8421797756982663,49,5250.0,0.06973417465923068,49,5250.0
265.0,80,1,51,113,193,0,5320.0,66.5,1.6488694245040605,51,5459.0,0.07601005485248584,51,5459.0
270.0,81,2,48,115,196,0,5502.0,67.92592592592592,2.2424668990413825,48,5628.0,0.08112296488598493,48,5628.0
275.0,80,1,45,117,197,0,5684.0,71.05,2.376281865401296,45,5816.0,0.07171992300746698,45,5816.0
280.0,79,3,48,122,201,0,5902.0,74.70886075949367,2.1519999378824433,48,6053.0,0.07211653514540954,48,6053.0
285.0,76,3,47,125,201,0,6097.0,80.22368421052632,1.9190551554809063,47,6253.0,0.08333600584758794,47,6253.0
290.0,82,5,46,129,211,0,6283.0,76.6219512195122,2.486323882753713,46,6409.0,0.11780941408456326,46,6409.0
295.0,84,3,45,129,213,0,6497.0,77.3452380952381,3.3123656381931545,45,6571.0,0.10900011267250291,45,6571.0
300.0,81,5,46,134,215,0,6716.0,82.91358024691358,3.190799852518631,46,6763.0,0.09297526309290262,46,6763.0
305.0,78,9,48,139,217,0,6952.0,89.12820512820512,3.868431842996101,48,6978.0,0.15833758638114667,48,6978.0
310.0,75,10,48,145,220,0,7192.0,95.89333333333333,3.8495046418263943,48,7199.0,0.1676397105243293,48,7199.0
315.0,77,6,50,149,226,0,7439.0,96.6103896103896,3.9084151029835015,50,7441.0,0.16686915637799646,50,7441.0
320.0,75,7,44,154,229,0,7571.0,100.94666666666667,3.3313189518187625,44,7622.0,0.14639478150541366,44,7622.0
325.0,76,8,49,158,234,0,7807.0,102.72368421052632,3.4033301556305005,49,7808.0,0.12977557117202437,49,7808.0
330.0,71,8,50,163,234,0,7034.0,99.07042253521126,2.3245421442259784,50,7577.0,0.06049290898127903,50,7577.0
335.0,71,8,53,167,238,0,7232.0,101.85915492957747,2.732309125402204,53,7264.0,0.08032232903739035,53,7264.0
340.0,69,8,53,171,240,0,7408.0,107.3623188405797,1.8938123812456524,53,7499.0,0.0438350551332563,53,7499.0
345.0,70,8,45,174,244,0,7526.0,107.51428571428572,2.758981695002674,45,7683.0,0.09535537651098974,45,7683.0
350.0,69,8,40,177,246,0,7653.0,110.91304347826087,2.3607829323412046,40,7862.0,0.08340123990748585,40,7862.0
355.0,70,8,45,180,250,0,7864.0,112.34285714285714,2.480225349280102,45,8064.0,0.08696291397288249,45,8064.0
360.0,67,8,52,183,250,0,8106.0,120.98507462686567,1.5435916138653072,52,8306.0,0.012986079416769316,52,8306.0
365.0,71,12,58,187,258,0,8383.0,118.07042253521126,1.8741904540728083,58,8583.0,0.09445517044384835,58,8583.0
370.0,70,12,62,188,258,0,8686.0,124.08571428571429,1.102948843302272,62,8886.0,0.05431611626803565,62,8886.0
375.0,74,12,65,190,264,0,9007.0,121.71621621621621,0.9903784476349776,65,9207.0,0.04827797241340778,65,9207.0
380.0,74,12,70,190,264,0,9347.0,126.3108108108108,0.7259020524487693,70,9547.0,0.027545139896225406,70,9547.0
385.0,78,12,70,192,270,0,9697.0,124.32051282051282,0.7232466231005893,70,9897.0,0.03043569641283668,70,9897.0
390.0,78,12,74,192,270,0,10061.0,128.98717948717947,0.6465381628287686,74,10261.0,0.02459984138900386,74,10261.0
395.0,78,15,72,193,271,0,10335.0,132.5,0.651663161147868,72,10524.0,0.029342513130872223,72,10524.0
400.0,79,19,74,194,273,0,10699.0,135.43037974683546,0.8613330763188287,74,10869.0,0.025236066619371382,74,10869.0
405.0,79,23,74,194,273,0,11069.0,140.1139240506329,0.8308464979636376,74,11239.0,0.021920827126923833,74,11239.0
410.0,78,23,76,197,275,0,11441.0,146.67948717948718,0.3615490247135573,76,11611.0,0.02472731392991376,76,11611.0
415.0,78,27,76,197,275,0,11821.0,151.55128205128204,0.35552960634491954,76,11991.0,0.024241923398794513,76,11991.0
420.0,78,27,77,197,275,0,12202.0,156.43589743589743,0.028435643851034823,77,12372.0,0.002093909351839905,77,12372.0
425.0,80,31,78,197,277,0,12591.0,157.3875,0.31554213224658545,78,12761.0,0.02287595448669131,78,12761.0
430.0,80,31,78,197,277,0,12981.0,162.2625,0.1827107802053888,78,13151.0,0.013527974685164706,78,13151.0
435.0,84,39,80,197,281,0,13374.0,159.21428571428572,0.6850403689576735,80,13544.0,0.04492574898797485,80,13544.0
440.0,84,39,80,197,281,0,13774.0,163.97619047619048,0.48845396736278607,80,13944.0,0.03392897815579902,80,13944.0
445.0,86,43,82,197,283,0,14177.0,164.84883720930233,0.6235090894018235,82,14347.0,0.023831804470717925,82,14347.0
450.0,86,43,82,197,283,0,14587.0,169.61627906976744,0.5977256309739545,82,14757.0,0.022291531019977013,82,14757.0
455.0,86,47,83,197,283,0,14998.0,174.3953488372093,0.2963609807040662,83,15168.0,0.0003003039728719984,83,15168.0
460.0,86,47,84,199,285,0,15418.0,179.27906976744185,0.3226643867242055,84,15588.0,0.022318496497421916,84,15588.0
465.0,86,51,84,199,285,0,15838.0,184.1627906976744,0.11724918282576582,84,16008.0,0.008137478395058882,84,16008.0
470.0,88,55,80,199,287,0,15900.0,180.6818181818182,0.5142500066904058,80,16286.0,0.028735933293562402,80,16286.0
475.0,88,59,72,199,287,0,16095.0,182.89772727272728,1.4782848956290335,72,16405.0,0.04571045786640715,72,16405.0
480.0,88,59,72,199,287,0,16455.0,186.98863636363637,2.113504638581676,72,16639.0,0.03601282540289018,72,16639.0
485.0,86,63,72,203,289,0,16815.0,195.52325581395348,2.070409764216608,72,16985.0,0.025681689751803415,72,16985.0
490.0,81,63,72,208,289,0,17175.0,212.03703703703704,1.448530476774198,72,17345.0,0.012485822969852511,72,17345.0
495.0,78,67,72,213,291,0,17535.0,224.80769230769232,1.0179075849325465,72,17705.0,0.026449159966031477,72,17705.0
500.0,76,67,72,215,291,0,17895.0,235.46052631578948,0.7021986830707787,72,18065.0,0.025683807877060313,72,18065.0
505.0,78,71,72,217,295,0,18255.0,234.03846153846155,0.9803122518215162,72,18425.0,0.05263157894736842,72,18425.0
510.0,78,75,72,217,295,0,18615.0,238.65384615384616,0.9300353782348167,72,18785.0,0.04815845992987683,72,18785.0
515.0,78,75,72,217,295,0,18975.0,243.26923076923077,0.860471798387249,72,19145.0,0.032477341375144866,72,19145.0
520.0,78,79,73,219,297,0,19336.0,247.89743589743588,0.6881698713271703,73,19506.0,0.025971775293524575,73,19506.0
525.0,78,79,74,219,297,0,19706.0,252.64102564102564,0.6704710416611834,74,19876.0,0.0246010352422139,74,19876.0
530.0,79,83,73,220,299,0,20057.0,253.8860759493671,0.589674551529225,73,20227.0,0.025984784293531828,73,20227.0
535.0,78,83,74,221,299,0,20427.0,261.88461538461536,0.6588857913099392,74,20597.0,0.025577303417647534,74,20597.0
540.0,78,87,74,221,299,0,20797.0,266.62820512820514,0.455591692466499,74,20967.0,0.01084495794913045,74,20967.0
545.0,78,91,76,223,301,0,21173.0,271.44871794871796,0.3304357780537933,76,21343.0,0.024477805453561634,76,21343.0
550.0,78,95,76,223,301,0,21553.0,276.3205128205128,0.21074257535467283,76,21723.0,0.016521996161555946,76,21723.0
555.0,80,95,77,223,303,0,21936.0,274.2,0.35998728332239993,77,22106.0,0.025051806774042774,77,22106.0
560.0,80,99,78,223,303,0,22324.0,279.05,0.29553075869487405,78,22494.0,0.020679876426236567,78,22494.0
565.0,82,99,78,223,305,0,22714.0,277.0,0.34209644615263685,78,22884.0,0.024959271040232125,78,22884.0
570.0,82,103,80,223,305,0,23113.0,281.8658536585366,0.32116360750299605,80,23283.0,0.023429278500807546,80,23283.0
575.0,82,103,80,223,305,0,23513.0,286.7439024390244,0.02776119216766811,80,23683.0,0.002033933237554417,80,23683.0
580.0,86,111,82,223,309,0,23920.0,278.13953488372096,0.6237406448180814,82,24090.0,0.04436028609267776,82,24090.0
585.0,86,111,82,223,309,0,24330.0,282.90697674418607,0.46693950320976557,82,24500.0,0.033745039189037485,82,24500.0
590.0,88,115,84,223,311,0,24746.0,281.20454545454544,0.5878616055266767,84,24916.0,0.021692261578249786,84,24916.0
595.0,88,115,84,223,311,0,25166.0,285.97727272727275,0.5413391141415306,84,25336.0,0.018666589010680554,84,25336.0
600.0,86,119,85,225,311,0,25588.0,297.5348837209302,0.010048622215574786,85,25758.0,0.0008634923236466208,85,25758.0
605.0,88,123,86,225,313,0,26017.0,295.64772727272725,0.2964666964195662,86,26187.0,0.02235688314377519,86,26187.0
610.0,88,127,81,225,313,0,22880.0,260.0,0.13027374104313771,81,25419.0,0.006316447283644297,81,25419.0
615.0,90,131,74,225,315,0,18899.0,209.98888888888888,0.7777164027631958,74,24618.0,0.03952999975887288,74,24618.0
620.0,90,135,65,225,315,0,14963.0,166.25555555555556,1.661008958045747,65,22652.0,0.05337693160330574,65,22652.0
625.0,92,135,59,225,317,0,12008.0,130.52173913043478,3.1594344887634835,59,19719.0,0.0966283120645506,59,19719.0
630.0,86,139,54,231,317,0,10509.0,122.19767441860465,3.5907099315707485,54,17076.0,0.1289520852972965,54,17076.0
635.0,83,137,51,236,319,0,10227.0,123.21686746987952,3.0021419085122036,51,17135.0,0.12685071283435329,51,17135.0
640.0,84,136,46,242,326,0,9974.0,118.73809523809524,2.8965696327436423,46,17034.0,0.1275942818778366,46,17034.0
645.0,85,132,49,245,330,0,10154.0,119.45882352941176,3.0577140228412505,49,16911.0,0.11181129044159087,49,16911.0
650.0,89,136,54,249,338,0,10416.0,117.03370786516854,3.2337492225689277,54,17020.0,0.13605330860230963,54,17020.0
655.0,87,133,61,254,341,0,10709.0,123.0919540229885,2.3779149651029923,61,17276.0,0.06681117858083993,61,17276.0
660.0,85,135,67,258,343,0,11036.0,129.83529411764707,1.8051143879928184,67,17603.0,0.051937290307087915,67,17603.0
665.0,82,135,73,263,345,0,11391.0,138.91463414634146,1.1503935771656697,73,17958.0,0.024964066845884855,73,17958.0
670.0,78,139,68,267,345,0,11559.0,148.19230769230768,0.8409054503508065,68,17324.0,0.02942113250057653,68,17324.0
675.0,78,139,59,269,347,0,11583.0,148.5,1.762327868971388,59,14926.0,0.050802933248773836,59,14926.0
680.0,78,143,52,269,347,0,11646.0,149.30769230769232,2.8618844406105883,52,13548.0,0.08520822056108154,52,13548.0
685.0,76,147,42,273,349,0,11630.0,153.02631578947367,3.186123936343929,42,12203.0,0.0869802135819559,42,12203.0
690.0,71,147,42,278,349,0,11793.0,166.09859154929578,3.5194681235567002,42,12412.0,0.16755475997102648,42,12412.0
695.0,68,147,42,285,353,0,12003.0,176.51470588235293,3.400624826771265,42,12465.0,0.1634546731261049,42,12465.0
700.0,72,143,44,287,359,0,12222.0,169.75,4.142039835582502,44,12557.0,0.1879637992733033,44,12557.0
705.0,74,143,44,289,363,0,12442.0,168.13513513513513,4.5389621246374965,44,12634.0,0.17439619468506798,44,12634.0
710.0,73,139,46,296,369,0,12669.0,173.54794520547946,4.52429026887699,46,12839.0,0.18753526254938918,46,12839.0
715.0,72,138,46,302,374,0,12899.0,179.15277777777777,4.334157447520785,46,13069.0,0.16790386805625004,46,13069.0
720.0,71,133,46,308,379,0,13129.0,184.91549295774647,3.8236974774210983,46,13299.0,0.13648963853505808,46,13299.0
725.0,73,137,48,314,387,0,13368.0,183.12328767123287,3.971696291769678,48,13538.0,0.20618905520528666,48,13538.0
730.0,73,133,48,318,391,0,13608.0,186.41095890410958,4.012524207375636,48,13778.0,0.21194753785608939,48,13778.0
735.0,72,137,51,321,393,0,13855.0,192.43055555555554,3.5814147465963333,51,14025.0,0.12658622591373808,51,14025.0
740.0,68,137,52,325,393,0,14114.0,207.55882352941177,2.80595360191561,52,14284.0,0.01679782483211885,52,14284.0
745.0,65,141,54,330,395,0,14382.0,221.26153846153846,2.1258679877840994,54,14552.0,0.035717856387975574,54,14552.0
750.0,58,141,54,337,395,0,14652.0,252.6206896551724,0.8530320220334283,54,14822.0,0.034864019473215165,54,14822.0
755.0,56,145,55,339,395,0,14923.0,266.48214285714283,0.004528369386548897,55,15093.0,0.000373494915147036,55,15093.0
760.0,62,145,56,339,401,0,15203.0,245.20967741935485,1.1104475776081804,56,15373.0,0.08632399133605613,56,15373.0
765.0,62,149,57,339,401,0,15484.0,249.74193548387098,0.7271815980877612,57,15654.0,0.059653802836976313,57,15654.0
770.0,64,149,58,339,403,0,15773.0,246.453125,1.0854700577717327,58,15943.0,0.07283408254685038,58,15943.0
775.0,64,153,58,339,403,0,16063.0,250.984375,0.8795515124984712,58,16233.0,0.014278729199872052,58,16233.0
780.0,64,153,60,339,403,0,16358.0,255.59375,0.7202237942888285,60,16528.0,0.0,60,16528.0
785.0,63,157,60,342,405,0,16658.0,264.41269841269843,0.5121571153658996,60,16828.0,0.023540244809918374,60,16828.0
790.0,62,157,56,343,405,0,16332.0,263.4193548387097,0.3198544783426244,56,16894.0,0.010817618301352593,56,16894.0
795.0,70,161,46,343,413,0,15971.0,228.15714285714284,2.9114631079230953,46,16752.0,0.1498121963594572,46,16752.0
800.0,70,161,40,343,413,0,16062.0,229.45714285714286,4.039202177045707,40,16533.0,0.17006342712431835,40,16533.0
805.0,69,165,41,346,415,0,16263.0,235.69565217391303,3.8484744282129593,41,16520.0,0.14443658163276374,41,16520.0
810.0,63,165,46,352,415,0,16483.0,261.63492063492066,2.9472333448761927,46,16653.0,0.06757446798004921,46,16653.0
