step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,16,0,0,0,16,0,0.0,0.0,11.415674834624877,0,0.0,0.8293994519152266,0,0.0
10.0,16,0,0,0,16,0,0.0,0.0,11.759486759213369,0,0.0,0.8565361934222758,0,0.0
15.0,22,0,4,0,22,0,4.0,0.18181818181818182,6.14074184421649,4,4.0,0.3811369062198757,4,4.0
20.0,22,0,13,0,22,0,52.0,2.3636363636363638,5.04106667710188,13,52.0,0.24154368247762456,13,52.0
25.0,26,0,9,2,28,0,67.0,2.576923076923077,3.9793174278684895,9,92.0,0.2589652320147617,9,92.0
30.0,25,0,13,3,28,0,130.0,5.2,3.7294882459634846,13,141.0,0.23387278048891386,13,141.0
35.0,29,0,17,3,32,0,202.0,6.9655172413793105,4.530443826005569,17,202.0,0.2023987563205124,17,202.0
40.0,35,0,19,3,38,0,292.0,8.342857142857143,4.831186999059206,19,292.0,0.2272225092910609,19,292.0
45.0,34,0,23,8,42,0,399.0,11.735294117647058,4.053150219677015,23,399.0,0.2784566463355666,23,399.0
50.0,35,0,24,9,44,0,516.0,14.742857142857142,2.5954023363153316,24,516.0,0.09577119636318086,24,516.0
55.0,39,0,27,9,48,0,571.0,14.64102564102564,3.3280830708357314,27,571.0,0.15453632584469137,27,571.0
60.0,36,0,27,12,48,0,706.0,19.61111111111111,1.4523915083820282,27,706.0,0.03353074749392878,27,706.0
65.0,41,0,33,13,54,0,862.0,21.024390243902438,2.359016206583935,33,862.0,0.1292687511717191,33,862.0
70.0,39,0,29,15,54,0,717.0,18.384615384615383,0.4774595178452822,29,914.0,0.01890171216206215,29,914.0
75.0,51,0,23,15,66,0,462.0,9.058823529411764,4.389809545026118,23,901.0,0.2648495275878794,23,901.0
80.0,51,0,19,15,66,0,381.0,7.470588235294118,4.171931165944931,19,961.0,0.2143179031898275,19,961.0
85.0,54,1,23,17,71,0,410.0,7.592592592592593,3.447370487317658,23,1063.0,0.1521184141174006,23,1063.0
90.0,50,1,26,21,71,0,515.0,10.3,2.28278317744406,26,1186.0,0.09884689850149339,26,1186.0
95.0,53,1,33,22,75,0,668.0,12.60377358490566,1.4546070967197693,33,1339.0,0.05654322127694594,33,1339.0
100.0,52,1,43,25,77,0,867.0,16.673076923076923,0.556819226629342,43,1539.0,0.04107617440954991,43,1539.0
105.0,55,2,49,25,80,0,1100.0,20.0,0.3924136483370779,49,1772.0,0.03306675255955937,49,1772.0
110.0,61,2,55,25,86,0,1365.0,22.37704918032787,1.1668411352459194,55,2037.0,0.08912259380458208,55,2037.0
115.0,62,5,55,25,87,0,1640.0,26.451612903225808,1.113092681231107,55,2312.0,0.085421218295637,55,2312.0
120.0,62,5,58,25,87,0,1923.0,31.016129032258064,0.8015583279984722,58,2595.0,0.03132991378242372,58,2595.0
125.0,64,9,58,25,89,0,2213.0,34.578125,1.1375841637676327,58,2885.0,0.029748477773193456,58,2885.0
130.0,63,9,60,26,89,0,2505.0,39.76190476190476,0.5824742920366158,60,3177.0,0.0002019969996154044,60,3177.0
135.0,63,13,60,28,91,0,2805.0,44.523809523809526,0.5778989211911845,60,3477.0,0.03097884661290238,60,3477.0
140.0,62,13,60,29,91,0,3105.0,50.08064516129032,0.008784242607043245,60,3777.0,0.0006635919201253722,60,3777.0
145.0,68,15,56,29,97,0,3030.0,44.55882352941177,1.510829479328964,56,3861.0,0.09837425857462902,56,3861.0
150.0,70,17,46,29,99,0,2692.0,38.457142857142856,2.5751818722324273,46,3700.0,0.1302211564872542,46,3700.0
155.0,70,17,43,29,99,0,2455.0,35.07142857142857,2.5119844920980117,43,3920.0,0.1123052346796438,43,3920.0
160.0,67,21,42,34,101,0,2157.0,32.19402985074627,1.7505630006770954,42,4129.0,0.06733169856223876,42,4129.0
165.0,66,21,39,35,101,0,2044.0,30.96969696969697,1.5312480482158348,39,4119.0,0.052543779251321095,39,4119.0
170.0,69,23,36,36,105,0,2172.0,31.47826086956522,2.7048815092930028,36,3916.0,0.10121548133899314,36,3916.0
175.0,68,21,34,39,107,0,2312.0,34.0,3.067098974276403,34,3576.0,0.07320931034265155,34,3576.0
180.0,66,23,33,43,109,0,2469.0,37.40909090909091,3.779943000495929,33,3370.0,0.12092827727245589,33,3370.0
185.0,67,23,32,48,115,0,2628.0,39.223880597014926,4.9117668996718,32,3208.0,0.22147551943537508,32,3208.0
190.0,65,23,34,54,119,0,2793.0,42.96923076923077,5.236935125404262,34,3070.0,0.24972784947129967,34,3070.0
195.0,65,20,36,59,124,0,2965.0,45.61538461538461,4.519181434746259,36,2969.0,0.19024509833946604,36,2969.0
200.0,63,20,40,65,128,0,3157.0,50.111111111111114,4.150588047636281,40,3157.0,0.1529516793027835,40,3157.0
205.0,66,15,40,69,135,0,3357.0,50.86363636363637,4.42663062614305,40,3357.0,0.1808720853495154,40,3357.0
210.0,65,15,42,74,139,0,3559.0,54.753846153846155,3.9753210974624844,42,3559.0,0.1578566863886565,42,3559.0
215.0,65,10,42,79,144,0,3769.0,57.98461538461538,4.0365765391639465,42,3769.0,0.15287277816261624,42,3769.0
220.0,73,9,42,84,157,0,3979.0,54.50684931506849,4.6486301136303005,42,3979.0,0.2208058433619577,42,3979.0
225.0,73,5,44,88,161,0,4198.0,57.50684931506849,4.750509307329049,44,4198.0,0.21457581323785516,44,4198.0
230.0,75,4,47,93,168,0,4424.0,58.986666666666665,3.8388397595130423,47,4424.0,0.1472825994489899,47,4424.0
235.0,72,2,52,98,170,0,4683.0,65.04166666666667,3.640299175316431,52,4683.0,0.12093274146449617,52,4683.0
240.0,71,1,48,104,175,0,3729.0,52.521126760563384,2.7287121401072807,48,4510.0,0.12675538518329504,48,4510.0
245.0,69,2,43,107,176,0,2365.0,34.27536231884058,2.9689575216265984,43,3951.0,0.12178018485486425,43,3951.0
250.0,71,2,33,109,180,0,1613.0,22.718309859154928,3.20813759063827,33,3763.0,0.13767557610087205,33,3763.0
255.0,71,4,27,113,184,0,1125.0,15.845070422535212,3.6377552618654154,27,3889.0,0.16770507008098615,27,3889.0
260.0,71,4,23,117,188,0,1028.0,14.47887323943662,3.637513452958609,23,3653.0,0.1971899035221442,23,3653.0
265.0,71,2,25,121,192,0,1110.0,15.633802816901408,2.8698310634436623,25,3133.0,0.1236700442390133,25,3133.0
270.0,75,0,28,123,198,0,1237.0,16.493333333333332,3.5674739190920377,28,2485.0,0.1303687917777657,28,2485.0
275.0,71,0,34,127,198,0,1396.0,19.661971830985916,3.7912251647430444,34,2138.0,0.13457614726706135,34,2138.0
280.0,73,0,32,131,204,0,1457.0,19.958904109589042,3.9418269701166193,32,2170.0,0.1823255658583375,32,2170.0
285.0,68,0,30,136,204,0,1506.0,22.147058823529413,3.906288720643635,30,2231.0,0.15074813040049378,30,2231.0
290.0,73,2,30,141,214,0,1568.0,21.47945205479452,4.034552417419226,30,2210.0,0.21067158851477105,30,2210.0
295.0,70,0,29,146,216,0,1655.0,23.642857142857142,3.6853302829068486,29,2082.0,0.1810034326838003,29,2082.0
300.0,70,2,34,148,218,0,1801.0,25.728571428571428,3.920180265335057,34,1996.0,0.13708931307137184,34,1996.0
305.0,73,0,42,153,226,0,1996.0,27.34246575342466,4.038170891995666,42,2175.0,0.16180664086566468,42,2175.0
