step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,16,0,0,0,16,0,0.0,0.0,11.826055642401643,0,0.0,0.8480920061653268,0,0.0
10.0,16,0,0,0,16,0,0.0,0.0,11.86784517813569,0,0.0,0.8453841356838839,0,0.0
15.0,22,0,2,0,22,0,3.0,0.13636363636363635,6.556360398118923,2,3.0,0.4158159566612569,2,3.0
20.0,22,0,8,0,22,0,38.0,1.7272727272727273,7.274863891565056,8,38.0,0.36403953241348896,8,38.0
25.0,26,0,5,2,28,0,41.0,1.5769230769230769,6.604626485410572,5,56.0,0.33754594841768326,5,56.0
30.0,23,0,6,5,28,0,69.0,3.0,8.568931720529456,6,70.0,0.435523177799594,6,70.0
35.0,24,0,4,8,32,0,45.0,1.875,7.0901134770923635,4,61.0,0.3109313250199175,4,61.0
40.0,25,0,8,13,38,0,79.0,3.16,8.235762543920568,8,80.0,0.49874002168341597,8,80.0
45.0,28,0,9,14,42,0,67.0,2.392857142857143,7.706864125323095,9,68.0,0.45161270384423713,9,68.0
50.0,26,0,11,18,44,0,118.0,4.538461538461538,5.19295918479229,11,119.0,0.2623709478961788,11,119.0
55.0,28,0,12,20,48,0,78.0,2.7857142857142856,4.376609328172721,12,146.0,0.24809886054516592,12,146.0
60.0,26,0,6,22,48,0,57.0,2.1923076923076925,5.289345976303003,6,119.0,0.22818668895087155,6,119.0
65.0,32,0,5,22,54,0,40.0,1.25,7.003560317286944,5,111.0,0.3683218741303062,5,111.0
70.0,29,0,11,25,54,0,85.0,2.9310344827586206,5.490464383972805,11,133.0,0.20436971036648222,11,133.0
75.0,37,0,11,29,66,0,104.0,2.810810810810811,6.0319355249737585,11,155.0,0.3776230626417638,11,155.0
80.0,33,0,6,33,66,0,111.0,3.3636363636363638,7.871443095278059,6,142.0,0.5012710804836489,6,142.0
85.0,39,0,2,33,72,0,3.0,0.07692307692307693,6.966659993951609,2,94.0,0.38269353405881945,2,94.0
90.0,35,0,13,37,72,0,40.0,1.1428571428571428,6.025156127882642,13,67.0,0.23514581322434522,13,67.0
95.0,35,0,14,41,76,0,92.0,2.6285714285714286,5.184048049732209,14,127.0,0.18970339435655098,14,127.0
100.0,33,0,19,45,78,0,180.0,5.454545454545454,5.082063351834584,19,206.0,0.19168532003219432,19,206.0
105.0,33,0,15,49,82,0,168.0,5.090909090909091,4.765167733041597,15,251.0,0.24464068203392236,15,251.0
110.0,36,0,7,52,88,0,88.0,2.4444444444444446,6.2604410408275255,7,191.0,0.3215947568387744,7,191.0
115.0,37,2,6,53,90,0,99.0,2.675675675675676,8.85427677452768,6,165.0,0.4820796442406834,6,165.0
120.0,34,0,3,58,92,0,68.0,2.0,7.341602714449591,3,135.0,0.3971220814295815,3,135.0
125.0,33,2,12,63,96,0,109.0,3.303030303030303,5.455240015566332,12,161.0,0.20961468480099008,12,161.0
130.0,32,0,13,66,98,0,135.0,4.21875,5.333075757401732,13,189.0,0.24717353827457075,13,189.0
135.0,33,2,7,69,102,0,144.0,4.363636363636363,6.09268627049233,7,181.0,0.2744514059314053,7,181.0
140.0,32,0,5,72,104,0,118.0,3.6875,6.863170552966761,5,177.0,0.3398511335289122,5,177.0
145.0,33,2,12,77,110,0,165.0,5.0,5.121950951277993,12,197.0,0.25850214349599854,12,197.0
150.0,37,0,14,79,116,0,196.0,5.297297297297297,5.947116561553415,14,246.0,0.37115465994116215,14,246.0
155.0,33,0,6,83,116,0,196.0,5.9393939393939394,5.6107302936330035,6,246.0,0.3092226395484578,6,246.0
160.0,39,0,9,83,122,0,164.0,4.205128205128205,5.913125338469332,9,235.0,0.3051025621681803,9,235.0
165.0,36,0,15,86,122,0,227.0,6.305555555555555,4.751522839076518,15,267.0,0.14755519940020773,15,267.0
170.0,38,0,17,90,128,0,265.0,6.973684210526316,4.750749901256235,17,322.0,0.22282615735879996,17,322.0
175.0,35,0,10,93,128,0,283.0,8.085714285714285,5.141611676071314,10,337.0,0.18368386956446459,10,337.0
180.0,35,0,8,97,132,0,97.0,2.7714285714285714,5.886898323028229,8,186.0,0.2905063115588215,8,186.0
185.0,37,0,15,101,138,0,157.0,4.243243243243243,5.155633012636078,15,203.0,0.24100479397409452,15,203.0
190.0,38,0,16,104,142,0,191.0,5.026315789473684,4.453062533555592,16,254.0,0.2473697681055829,16,254.0
195.0,36,0,14,108,144,0,212.0,5.888888888888889,3.828127310468387,14,275.0,0.17766885126756937,14,275.0
200.0,40,0,10,108,148,0,193.0,4.825,4.719214849846596,10,292.0,0.2548286796258982,10,292.0
205.0,39,0,17,111,150,0,263.0,6.743589743589744,4.519342472144605,17,334.0,0.16425506322081962,17,334.0
210.0,40,0,19,114,154,0,129.0,3.225,4.3974692099840995,19,327.0,0.18326339004635353,19,327.0
215.0,37,0,21,117,154,0,194.0,5.243243243243243,3.825441471953644,21,296.0,0.0812864643459643,21,296.0
220.0,46,0,21,120,166,0,200.0,4.3478260869565215,5.631073774289895,21,336.0,0.3012668127679964,21,336.0
225.0,41,0,14,125,166,0,123.0,3.0,5.638909465320328,14,319.0,0.2999993513065309,14,319.0
230.0,45,0,6,127,172,0,33.0,0.7333333333333333,5.74283338594251,6,295.0,0.3043934908072509,6,295.0
235.0,40,0,14,132,172,0,60.0,1.5,4.296340051784286,14,328.0,0.16916940213462148,14,328.0
240.0,41,0,14,135,176,0,92.0,2.2439024390243905,3.6063786163412304,14,363.0,0.16013416253657234,14,363.0
245.0,40,0,21,138,178,0,187.0,4.675,2.9272911298648507,21,441.0,0.07353881085277458,21,441.0
250.0,42,0,23,140,182,0,208.0,4.9523809523809526,3.5784395291176643,23,484.0,0.15850996224646988,23,484.0
255.0,44,0,19,144,188,0,174.0,3.9545454545454546,4.638913907311942,19,425.0,0.21653033656162174,19,425.0
260.0,47,0,11,145,192,0,145.0,3.0851063829787235,6.856816725428548,11,359.0,0.35574647993476244,11,359.0
